condition,fold,test_zone,repeat_in_fold,geometry_seed,theta_hat,theta_abs_error,test_nrmse,amplitude_rms_db,phase_rms_deg,test_squared_error,test_truth_energy,theta_lower_bound,theta_upper_bound
D0,0,Z0-south,39,4,0.999378192188223,0.0006218078117770087,0.0002385190828109733,0.0015294121251694715,0.008525223925830676,1.2396818943068866e-09,0.021790339513437923,0,0
D0,0,Z0-south,40,0,0.9986566049530912,0.0013433950469088352,0.0005152097031825803,0.003303523463961729,0.018414421881632774,5.7840503443428475e-09,0.021790339513437923,0,0
D0,0,Z0-south,41,1,1.0005973503828476,0.0005973503828475835,0.00022921475709566726,0.001469797841155153,0.008192941661626763,1.144851469960551e-09,0.021790339513437923,0,0
D0,0,Z0-south,42,2,0.9984852788008898,0.001514721199110225,0.0005808880207347034,0.0037246363556807187,0.020761772905963368,7.352733712797259e-09,0.021790339513437923,0,0
D0,0,Z0-south,43,3,0.9999648330658394,3.516693416061312e-05,1.3491863478792854e-05,8.651270420453083e-05,0.000482238219199607,3.96650378480124e-12,0.021790339513437923,0,0
D0,0,Z0-south,44,4,1.0019552345892002,0.0019552345892002165,0.0007505428708009601,0.004812888488805041,0.026828055382995222,1.2274816406708883e-08,0.021790339513437923,0,0
D0,0,Z0-south,45,0,1.0019527518095592,0.0019527518095592278,0.0007495893075705631,0.004806773413734222,0.026793968534707654,1.2243645960438193e-08,0.021790339513437923,0,0
D0,0,Z0-south,46,1,1.0011244632833276,0.0011244632833276036,0.00043154098927582424,0.0027672156096885036,0.01542501849659503,4.057963184795517e-09,0.021790339513437923,0,0
D0,0,Z0-south,47,2,1.0014481285628207,0.0014481285628207274,0.0005558054421107794,0.0035640794729150786,0.019866910958453336,6.731464916154123e-09,0.021790339513437923,0,0
D0,0,Z0-south,48,3,0.9995323591546184,0.00046764084538164497,0.00017938986892000733,0.001150273278141084,0.006411836224611015,7.01228925088688e-10,0.021790339513437923,0,0
D0,0,Z0-south,49,4,1.000346228545502,0.0003462285455020364,0.0001328452788460372,0.0008518406124887132,0.004748324517515949,3.8455303784191176e-10,0.021790339513437923,0,0
D0,0,Z0-south,50,0,0.9982259764980265,0.0017740235019735318,0.0006802803851944226,0.004361908255004382,0.024314026314284466,1.008416388055009e-08,0.021790339513437923,0,0
